stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
53,0.5,16.0,63.898286800133064,,63.88313159998506,63.898286800133064,64.39848980004899,64.39848980004899,64.39848980004899,64.69828800018877,64.88290790002793,right,16.0,1,1,0.4801191999576986,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
54,0.5,16.0,64.89835350005887,,64.88301840005443,64.89835350005887,65.39851110009477,65.39851110009477,65.39851110009477,65.69832860003226,66.06630760012195,left,-16.0,1,1,0.6651667999103665,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
55,0.5,16.0,66.08178310003132,,66.06643790006638,66.08178310003132,66.58197060017847,66.58197060017847,66.58197060017847,66.88175359996967,67.26630050013773,left,-16.0,0,0,0.6743107999209315,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
56,0.5,16.5,67.28192940005101,,67.26641460019164,67.28192940005101,67.78181440010667,67.78181440010667,67.78181440010667,68.08182910014875,69.44990870007314,right,16.5,0,0,1.665723100071773,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
57,0.5,17.0,69.46515560010448,,69.45008710003458,69.46515560010448,69.96526660001837,69.96526660001837,69.96526660001837,70.26511949999258,70.7330374000594,right,17.0,0,0,0.7637152001261711,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
58,0.5,17.5,70.74882840015925,,70.73320660018362,70.74882840015925,71.24881080002524,71.24881080002524,71.24881080002524,71.54859620006755,71.71662289998494,right,17.5,1,1,0.4605668999720365,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
59,0.5,17.5,71.73191200010478,,71.71678740018979,71.73191200010478,72.23205960006453,72.23205960006453,72.23205960006453,72.5319535001181,73.11667020013556,left,-17.5,0,0,0.8817974000703543,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
60,0.5,18.0,73.13189760013483,,73.11678649997339,73.13189760013483,73.63206760003231,73.63206760003231,73.63206760003231,73.93199680000544,74.14982530009001,left,-18.0,0,0,0.5127960999961942,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
61,0.5,18.5,74.16525429999456,,74.14994939998724,74.16525429999456,74.64924579998478,74.64924579998478,74.66547160013579,74.94873970001936,75.29995630006306,right,18.5,0,0,0.647534399991855,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
62,0.5,19.0,75.31546840001829,,75.30008590011857,75.31546840001829,75.81547380005941,75.81547380005941,75.81547380005941,76.1152256000787,76.95001580007374,right,19.0,1,1,1.1179118000436574,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
63,0.5,19.0,76.96522690006532,,76.95012170006521,76.96522690006532,77.4655439001508,77.4655439001508,77.4655439001508,77.76538670016453,78.16672940016724,left,-19.0,1,1,0.6925919000059366,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
64,0.5,19.0,78.182058500126,,78.1668524001725,78.182058500126,78.68222080008127,78.68222080008127,78.68222080008127,78.98196930019185,79.31673010019585,right,19.0,0,0,0.631967999972403,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
65,0.5,19.5,79.33219030010514,,79.31684139999561,79.33219030010514,79.83228970016353,79.83228970016353,79.83228970016353,80.13227330008522,81.70010520005599,right,19.5,1,1,1.8654040000401437,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
66,0.5,19.5,81.71545940008946,,81.7002656001132,81.71545940008946,82.2155959000811,82.2155959000811,82.2155959000811,82.51561100012623,82.83331660018303,left,-19.5,1,1,0.6041233998257667,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
67,0.5,19.5,82.84984480007552,,82.83342829998583,82.84984480007552,83.34888150007464,83.34888150007464,83.36557570006698,83.64897760003805,84.00014740019105,right,19.5,0,0,0.6386790000833571,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
68,0.5,20.0,84.01557909999974,,84.00028120004572,84.01557909999974,84.51567580015399,84.51567580015399,84.51567580015399,84.81567579996772,85.15011940011755,right,20.0,0,0,0.620791699970141,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
69,0.5,20.0,85.16567200003192,,85.15023420006037,85.16567200003192,85.64909219997935,85.64909219997935,85.66578619997017,85.9489135001786,86.20035970001481,right,20.0,1,1,0.5456723999232054,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
70,0.5,20.0,86.2160989001859,,86.20049670012668,86.2160989001859,86.71573070017621,86.71573070017621,86.71573070017621,87.01559870014898,87.13340739998966,left,-20.0,1,1,0.41241770004853606,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
71,0.5,20.0,87.14903370011598,,87.13357589999214,87.14903370011598,87.64913060003892,87.64913060003892,87.64913060003892,87.94887770013884,88.63355670007877,left,-20.0,1,1,0.9740257998928428,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
72,0.5,19.5,88.64896320016123,,88.63367950008251,88.64896320016123,89.14895020006225,89.14895020006225,89.14895020006225,89.44888500007801,90.13336269999854,left,-19.5,0,0,0.9761616000905633,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
73,0.5,20.0,90.14915820001625,,90.13351870002225,90.14915820001625,90.6325948999729,90.6325948999729,90.64927399996668,90.9325242000632,91.16696870001033,right,20.0,1,1,0.5277761002071202,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
