trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,red_square.started,polygon_2.started,key_resp_2.started,red_square.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,blue_square.started,polygon_3.started,key_resp_3.started,blue_square.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0,23,0,48.43424140010029,,48.419351800112054,48.43424140010029,48.43424140010029,49.01899220002815,right,0.5826331998687238,None,49.019573100144044,49.03426480013877,49.03426480013877,49.71930740005337,left,0.6827998000662774,None,49.720199400093406,49.734332100022584,49.734332100022584,50.218608299968764,right,0.4719463000074029,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
24,0,24,0,50.23412590008229,,50.21949760010466,50.23412590008229,50.23412590008229,50.76850750017911,right,0.5228846999816597,None,50.76905270013958,50.78417640016414,50.78417640016414,51.95386300003156,left,1.159862200031057,None,51.95474550011568,51.969188400078565,51.969188400078565,52.60273939999752,right,0.6239265999756753,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
25,0,25,0,52.61745460005477,,52.60362059995532,52.61745460005477,52.61745460005477,53.06850050017238,right,0.44633770012296736,None,53.06904700002633,53.084474600153044,53.084474600153044,53.652322200126946,left,0.5600832998752594,None,53.65291730011813,53.667528100078925,53.667528100078925,55.935383500065655,right,2.2562277999240905,None,54.66754720010795,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
26,0,26,0,55.9510111999698,,55.936267300043255,55.9510111999698,55.9510111999698,57.08567399997264,left,1.1235966000240296,None,57.08622850012034,57.10105870012194,57.10105870012194,57.7693295001518,left,0.6659460999071598,None,57.77003900008276,57.78469520015642,57.78469520015642,58.68544100015424,right,0.8970466998871416,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
27,0,27,0,58.701518499990925,,58.686244500102475,58.701518499990925,58.701518499990925,60.15249800006859,left,1.4476549001410604,None,60.153061900055036,60.168070200132206,60.168070200132206,61.73567590001039,left,1.5518165999092162,None,61.73681140015833,61.75119010009803,61.75119010009803,62.13595180003904,right,0.3699985998682678,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
28,0,28,0,62.1512416000478,,62.13681420008652,62.1512416000478,62.1512416000478,62.60254800016992,right,0.4439599998295307,None,62.60307430010289,62.617848000023514,62.617848000023514,63.86928280000575,left,1.2486852000001818,None,63.86985100014135,63.88486240012571,63.88486240012571,65.03570320014842,right,1.1447695000097156,None,64.88437049998902,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
29,0,29,0,65.05122540006414,,65.0366569000762,65.05122540006414,65.05122540006414,65.61910590017214,right,0.5652646000962704,None,65.6198084000498,65.63491350016557,65.63491350016557,66.68615840002894,left,1.0339827998541296,None,66.68696200009435,66.70127109996974,66.70127109996974,67.18603610014543,right,0.4757125999312848,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
30,0,30,0,67.20130120008253,,67.18691100017168,67.20130120008253,67.20130120008253,67.80245620012283,right,0.5967656001448631,None,67.80300950002857,67.81835349998437,67.81835349998437,70.58619359997101,left,2.7626680999528617,None,70.58672260004096,70.60160020017065,70.60160020017065,72.33594560017809,right,1.7330183999147266,None,71.60290509997867,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
31,0,31,0,72.35192929999903,,72.33712620008737,72.35192929999903,72.35192929999903,72.98626070003957,right,0.6174109999556094,None,72.98678519995883,73.00183470011689,73.00183470011689,74.21921310015023,left,1.2119716999586672,None,74.21977029996924,74.23496600007638,74.23496600007638,74.75280120014213,right,0.5068522999063134,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
32,0,32,0,74.76816500001587,,74.75364250014536,74.76816500001587,74.76816500001587,75.2528218999505,right,0.4765310001093894,None,75.25336690014228,75.26819199998863,75.26819199998863,78.58646850008518,left,3.3089034999720752,None,78.58698839996941,78.60158330015838,78.60158330015838,81.20289760013111,right,2.588305199984461,None,79.6015717999544,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
33,0,33,0,81.21853770012967,,81.20373880001716,81.21853770012967,81.21853770012967,81.7530747000128,right,0.5250460000243038,None,81.75361909996718,81.76836100011133,81.76836100011133,83.20301990001462,left,1.4288601998705417,None,83.20358270010911,83.21864390000701,83.21864390000701,84.3859902000986,right,1.1517227999866009,None,84.21836289996281,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
34,0,34,0,84.40185100003146,,84.38682390004396,84.40185100003146,84.40185100003146,84.9698124001734,right,0.5662105998490006,None,84.97051000013016,84.98555500013754,84.98555500013754,86.35286390013061,left,1.356197499902919,None,86.35338520002551,86.36867940006778,86.36867940006778,86.85474910004996,right,0.4836603000294417,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
35,0,35,0,86.86900579999201,,86.85596740012988,86.86900579999201,86.86900579999201,87.23966970015317,right,0.3660875998903066,None,87.2414434000384,87.25213630008511,87.25213630008511,88.65315290004946,left,1.3875676000025123,None,88.65415529999882,88.66846049996093,88.66846049996093,89.13649850012735,right,0.45505240000784397,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
36,0,36,0,89.15192400012165,,89.13731420016848,89.15192400012165,89.15192400012165,89.43616529996507,left,0.2675896999426186,None,89.43673880002461,89.45218640007079,89.45218640007079,90.2197482001502,left,0.765819099964574,None,90.22029580012895,90.23551769996993,90.23551769996993,90.58653159998357,right,0.3374344001058489,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
37,0,37,0,90.60194520000368,,90.58741190005094,90.60194520000368,90.60194520000368,90.91986400005408,left,0.305627099936828,None,90.92039380013011,90.9354632999748,90.9354632999748,91.5210852001328,left,0.5833650999702513,None,91.52174740005285,91.53521959995851,91.53521959995851,91.8196859001182,right,0.272395099978894,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
38,0,38,0,91.83535580011085,,91.82056619995274,91.83535580011085,91.83535580011085,92.1029956000857,left,0.2520504998974502,None,92.10353039996698,92.11874489998445,92.11874489998445,92.66990750003606,left,0.5479965000413358,None,92.67046610009857,92.68551320000552,92.68551320000552,92.97004240006208,right,0.2768570000771433,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
39,0,39,0,92.98554170015268,,92.97117429994978,92.98554170015268,92.98554170015268,93.25325029995292,left,0.25996389985084534,None,93.25378280016594,93.26885810005479,93.26885810005479,93.81992160016671,left,0.5428006001748145,None,93.82044690009207,93.83569530001841,93.83569530001841,94.10320190014318,right,0.2568916000891477,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
40,0,40,0,94.11867680004798,,94.10402580001391,94.11867680004798,94.11867680004798,94.35320980008692,left,0.22394769988022745,None,94.35376660013571,94.36877189995721,94.36877189995721,94.9030907000415,left,0.5296306000091136,None,94.90364210004918,94.91894900007173,94.91894900007173,95.20306880003773,right,0.2757759001106024,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
41,0,41,0,95.21888509998098,,95.20389700005762,95.21888509998098,95.21888509998098,95.52001960016787,left,0.29800770012661815,None,95.52055150014348,95.53547180001624,95.53547180001624,95.9543175001163,left,0.4107498999219388,None,95.95572890015319,95.96911179996096,95.96911179996096,96.38844890007749,right,0.41616709996014833,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
42,0,42,0,96.40202000015415,,96.39089050004259,96.40202000015415,96.40202000015415,96.83666520006955,right,0.4276753000449389,None,96.83727040002123,96.85214870003983,96.85214870003983,97.52011220017448,left,0.6557877999730408,None,97.52072280016728,97.53559190011583,97.53559190011583,97.88742980011739,right,0.34930259990505874,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
43,0,43,0,97.9023262001574,,97.88873510016128,97.9023262001574,97.9023262001574,98.23668910004199,left,0.3238627000246197,None,98.23730750009418,98.25221320008859,98.25221320008859,99.18668340006843,left,0.9209260998759419,None,99.18727999995463,99.20224720006809,99.20224720006809,100.03649660013616,right,0.824769200058654,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
44,0,44,0,100.05234539997764,,100.03749140002765,100.05234539997764,100.05234539997764,100.45325230015442,right,0.3858104001265019,None,100.45374549995176,100.4690639001783,100.4690639001783,101.81991780013777,left,1.3410592000000179,None,101.8207803000696,101.83578260010108,101.83578260010108,102.71972630009986,right,0.8689516000449657,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
45,0,45,0,102.73565250006504,,102.7205034000799,102.73565250006504,102.73565250006504,103.43675420014188,right,0.6981216999702156,None,103.43727040011436,103.45245370012708,103.45245370012708,104.30352940014564,left,0.8465724000707269,None,104.30412159999833,104.31898310012184,104.31898310012184,104.80328330001794,right,0.46872060000896454,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
46,0,46,0,104.81919470010325,,104.8042945000343,104.81919470010325,104.81919470010325,105.30333609995432,right,0.46814920008182526,None,105.30396920000203,105.31920629995875,105.31920629995875,106.18701440002769,left,0.8558204001747072,None,106.18756660004146,106.20248640002683,106.20248640002683,107.35357500007376,right,1.139216000214219,None,107.2022371001076,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
47,0,47,0,107.36917409999296,,107.35445179999806,107.36917409999296,107.36917409999296,107.92055659997277,right,0.544808299979195,None,107.92108100000769,107.93587810010649,107.93587810010649,108.40382280014455,left,0.4519177998881787,None,108.40437280014157,108.41923360014334,108.41923360014334,108.88693080004305,right,0.4578384000342339,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
48,0,48,0,108.90244269999675,,108.88779169996269,108.90244269999675,108.90244269999675,109.53717990010045,right,0.6220247999299318,None,109.53781320014969,109.55243970011361,109.55243970011361,110.17051800014451,left,0.6071469001471996,None,110.17107200017199,110.18584359996021,110.18584359996021,110.53752350015566,right,0.35010340018197894,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
49,0,49,0,110.55269260006025,,110.53872760012746,110.55269260006025,110.55269260006025,110.9540844000876,right,0.3915399999823421,None,110.95469300006516,110.9691663000267,110.9691663000267,111.27199769997969,left,0.2923886999487877,None,111.2734163000714,111.28614660003223,111.28614660003223,111.62147230003029,right,0.31923689995892346,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
