reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,10,3,73,5,109.78841759997886,,109.77333940000972,109.78841759997886,110.78852649999317,110.78852649999317,110.78852649999317,112.30607370001962,l,1.5130954999476671,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,10,4,74,2,112.32185489998665,,112.30667479999829,112.32185489998665,113.32203159999335,113.32203159999335,113.32203159999335,113.43967960000737,t,0.10546290001366287,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,10,5,75,1,113.45514799997909,,113.44023579999339,113.45514799997909,114.45537380001042,114.45537380001042,114.45537380001042,114.70618639996974,t,0.2384005999774672,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,10,6,76,6,114.72188440000173,,114.70674920000602,114.72188440000173,115.72198380000191,115.72198380000191,115.72198380000191,115.73951079999097,l,0.014737199991941452,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,11,0,77,4,115.7552757000085,,115.74008979997598,115.7552757000085,116.75534869998228,116.75534869998228,116.75534869998228,116.9897251999937,t,0.2254213999840431,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,11,1,78,0,117.00535009999294,,116.99028440000257,117.00535009999294,118.00548039999558,118.00548039999558,118.00548039999558,118.62321450002491,t,0.6073817000142299,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,11,2,79,3,118.6386120999814,,118.62378859997261,118.6386120999814,119.63860359997489,119.63860359997489,119.63860359997489,120.1900975999888,t,0.5504181000287645,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,11,3,80,5,120.20534739998402,,120.19071320001967,120.20534739998402,121.20548910001526,121.20548910001526,121.20548910001526,121.3065612000064,l,0.0974222999648191,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,11,4,81,6,121.32220619998407,,121.30783679999877,121.32220619998407,122.32213410001714,122.32213410001714,122.32213410001714,122.48985329997959,t,0.1648579000029713,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,11,5,82,1,122.5054567999905,,122.49041139998008,122.5054567999905,123.50552160001826,123.50552160001826,123.50552160001826,123.65644390002126,l,0.1395005999947898,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
